L-lactate,citrate,deoxyuridine,X3.Methyl.2.oxovaleric.acid,X3.Methylcytidine,trans-4-hydroxy-L-proline,X2.Deoxyuridine,adenine,adenosine,alanine,alpha.Aminoadipic.acid,AKG,arginine,asparagine,aspartate,cis-aconitate,citrulline,L-cystathionine,cytidine,Dihydroxyacetone.phosphate,Erythrol,F6P.G1P,fumarate,Gluconate,glutamate,glutamine,glycine,guanosine,Hexose,histidine,homoserine,Hydroxyglutaric.acid,inosine,isocitrate,Isoleucine.Leucine,Ketoisovalerate,malate,Mannitol,methionine,Methionine.sulfone,Mevalonic.acid,N.Acetyl.L.aspartic.acid,N.Acetyl.serine,N4.Acetylcytidine,nicotinamide,ornithine,Pentose.phosphate,phenylalanine,creatine,Pseudouridine,pyruvate,Ribose,sarcosine,serine,succinate,threonine,thymidine,thymine,TMP,trehalose,tryptophan,tyrosine,uracil,uridine,xanthine,glucose,time,group
True,False,None,X,X,X,X,None,None,True,X,None,True,True,True,TCA,False,X,None,X,X,X,TCA,X,True,True,False,None,X,True,False,X,None,TCA,X,X,TCA,X,True,X,X,X,X,X,True,None,X,True,False,X,None,X,True,True,True,True,None,None,X,True,True,True,None,None,TCA,True,,
1920800,28934,412.71,918.57,202.94,69620,3801.5,144.96,92064,375690,1717.9,814.9,400670,217120,199820,196.8,8646.6,338.14,746.21,1735.2,98726,159.36,3797.8,3208,337310,3669300,107500,199.56,4310900,148920,6695.4,1814.7,1165.9,2670.2,426930,533.91,9613.3,66662,115360,972.65,95776,1312.1,354.37,43204,3661,30925,9891.4,171960,268.2,1332.9,3804.8,16355000,375690,405610,85496,231650,187.14,516.4,124.46,2085.5,31094,149280,7538.4,9818.6,37691,10627000,0,WT
1621800,24900,415.38,797.48,202.94,67142,2688.9,80112,88805,343390,2656.4,723.71,364600,196190,183230,161.19,8463.4,287.24,685.41,1053.8,56738,235.97,3265.8,2632.6,309200,3333100,100620,241.17,4006500,122990,3962.3,1538,1117,979.31,352640,272.02,8826.6,64329,104330,799.57,176.75,1238.6,346.68,57461,4518.2,29120,8253.1,164610,185.26,1252.2,4503.8,21544000,343390,376000,76245,209050,319.82,582.83,118.56,1650.5,29316,126870,6633.9,9514.5,32753,9877800,0,WT
1362900,27323,381.14,925.59,218.26,67287,3134.9,102.79,88805,377710,1585.6,801.48,397570,218280,198480,171.53,8474.4,490.9,694.11,1629.4,66763,194.93,3632.4,3017.2,331460,3628300,106880,210.86,4509600,137200,7296.3,1856,1094.1,2687.3,411330,685.84,9582.5,65558,118280,901.67,332.5,1355.5,331,31731,4883.8,32878,9256.7,168420,252.22,1368.6,4005.2,13375000,377710,379110,84676,225760,188.31,625.18,109.11,1943.3,29616,136700,7248.9,9546.9,36059,10853000,0,WT
2098600,28093,389.03,854.54,202.94,64451,3021.5,117.05,88805,340790,1961,763.73,376950,206300,189520,162.21,8344.4,397.44,724.03,1520.5,89873,200.49,3444.6,3168.6,319280,3446900,98680,210.54,4234300,132010,4638.9,1636.7,1117,826.41,387670,513.38,9098.1,64527,110830,892.8,175.83,1374.1,397.53,31.44,3140.8,28926,8660.8,158410,173.44,1204.7,3186.6,15497000,340790,392260,79553,220110,161.73,543.68,143.92,1828.5,28736,131660,7232.3,9876.6,33529,10232000,0,WT
2001000,27008,368.19,2518.3,202.94,75513,15536,2.0235,88805,375930,2560.8,1986.8,387780,214900,201880,178.29,8673.6,397.13,565.32,1506.4,70326,147.34,3676.8,2727.3,342730,3405000,163030,38585,4526900,133360,8354.7,1807,911.9,306.99,411670,912.33,9635.3,67934,111490,736.92,202.42,1463.4,300.15,30009,3089.1,41812,11011,167200,173.88,1282,37120,21070000,375930,395330,84211,233430,26831,641.82,59.77,2004.7,31536,143390,6888.5,9141.2,42783,10573000,24,WT
1515800,26019,271.45,2020.9,202.94,65678,13160,7.2699,88805,355350,2672.1,1863,370280,202700,187820,166.64,8011.5,507.73,569.67,1540.1,88049,123.64,3475.5,2924.4,317260,3217100,112770,42967,4126300,129310,5475.4,1643.3,821.79,1363.5,373920,441.36,9042.1,59846,105540,871.01,105.46,1449.4,292.78,28251,5954.2,37876,11230,166590,205.09,1236.2,34929,15234000,355350,345910,80676,224420,116.49,615.27,60172,1804,30505,134320,6820.9,7781.1,47695,9675200,24,WT
2203000,26799,283.4,2483.6,202.94,78889,16003,-8.1572,88805,403960,2519.1,2051.8,399590,221850,206120,228.99,8887.8,513.38,600.64,1453.3,66282,193.08,3807,2859,352610,3495200,154100,38585,4443000,142270,8083.9,1890,972.38,407.85,399090,659.6,9875.6,71579,109120,704.01,370.5,1519.5,362.44,24302,5754.4,44810,12023,168940,261.54,1343.6,36146,14649000,403960,426430,85191,238220,96929,631.51,63448,1899.8,32237,148480,7122.8,9089.7,47092,10673000,24,WT
2140400,28822,366.63,2380,202.94,76321,13441,16601,88805,388200,1274.6,1914.3,382500,213110,199530,183.17,8617.8,653.43,629.64,1949.1,83252,118.38,3632.7,2427.9,335630,3331700,150750,38585,4491300,135040,12593,1824.8,957.95,534.23,384630,887.3,9466.1,69434,108540,592.25,105.95,1776.1,324.26,23041,3878.5,40156,11101,176780,235.74,1272.8,37579,19438000,388200,395100,83663,237870,18309,594.04,57414,1781,30509,142780,6603,9237.9,44096,10337000,24,WT
3362500,26846,327.86,6833,202.94,79288,40269,-61445,88805,387760,1327.5,3505.7,362200,203440,195670,190.24,8228.2,329.75,198.21,1937.9,74240,160.61,3642.8,2761.7,348570,3049200,165600,38585,4169800,127360,5846.4,1686.7,585.11,366.88,365980,820.78,9610.3,69709,108860,786.03,332.48,2011,331.55,39383,2654.5,54483,11053,162730,364.93,1199.6,86270,12356000,387760,353410,80209,222130,14254,839.05,62801,1776.3,28816,135620,6745.6,5590.5,47913,9948200,48,WT
